Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^4	^5D	0	1.0	0.000000	0.000014		64	L10405
5d^4	^5D	1	3.0	0.279733	0.000009		83	L10405
5d^4	^5D	2	5.0	0.553117	0.000006		93	L10405
5d^4	^5D	3	7.0	0.778349	0.000006		91	L10405
5d^4	^5D	4	9.0	0.953027	0.000006		78	L10405
5d^4	^3P2	0	1.0	1.227977	0.000009		35 | ^5D	L10405
5d^3(^4F)6s	^5F	1	3.0	1.359926	0.000005		82	L10405
5d^3(^4F)6s	^5F	2	5.0	1.540763	0.000004		79	L10405
5d^4	^3P2	1	3.0	1.597044	0.000005		38	L10405
5d^4	^3H	4	9.0	1.698701	0.000006		52	L10405
5d^4	^3F2	2	5.0	1.734804	0.000005		40	L10405
5d^4	^3F2	3	7.0	1.847340	0.000004		37 | 5d^3(^4F)6s | ^5F	L10405
5d^3(^4F)6s	^5F	3	7.0	1.864479	0.000004		56	L10405
5d^4	^3P2	2	5.0	2.060751	0.000004		36	L10405
5d^4	^3H	5	11.0	2.073418	0.000006		73	L10405
5d^3(^4F)6s	^5F	4	9.0	2.154895	0.000004		73	L10405
5d^4	^3F2	4	9.0	2.278383	0.000005		27	L10405
5d^4	^3H	6	13.0	2.278941	0.000007		81	L10405
5d^3(^4F)6s	^5F	5	11.0	2.434064	0.000005		69	L10405
5d^4	^3G	3	7.0	2.461318	0.000004		36 | ^3F2	L10405
5d^4	^3G	4	9.0	2.533311	0.000005		46	L10405
5d^4	^3D	2	5.0	2.566054	0.000004		22	L10405
5d^4	^3D	3	7.0	2.753947	0.000004		64	L10405
5d^3(^4P)6s	^5P	2	5.0	2.846061	0.000004		38	L10405
5d^3(^4P)6s	^5P	1	3.0	2.861657	0.000004		76	L10405
5d^4	^3G	5	11.0	2.891039	0.000005		57	L10405
5d^4	^3D	1	3.0	2.987665	0.000005		70	L10405
5d^4	^3D	2	5.0	3.036445	0.000004		19 | 5d^3(^4F)6s | ^3F	L10405
5d^4	^1I	6	13.0	3.219100	0.000010		83	L10405
5d^4	^1G2	4	9.0	3.296559	0.000004		37	L10405
5d^3(^4P)6s	^5P	3	7.0	3.3788831	0.0000025		95	L10405
5d^26s^2	^1S	0	1.0	3.437613	0.000006		53	L10405
5d^3(^4F)6s	^3F	2	5.0	3.479362	0.000004		48	L10405
5d^3(^4F)6s	^3F	3	7.0	3.520047	0.000004		45 | 5d^3(^2G)6s | ^3G	L10405
5d^3(^2H)6s	^3H	4	9.0	3.592745	0.000004		39	L10405
5d^4	^1F	3	7.0	3.625953	0.000005		60	L10405
5d^3(^2P)6s	^3P	0	1.0	3.659023	0.000005		55	L10405
5d^3(^2P)6s	^3P	2	5.0	3.694836	0.000004		28 | 5d^3(^4P)6s | ^5P	L10405
5d^3(^2P)6s	^3P	1	3.0	3.701641	0.000004		33	L10405
5d^3(^2G)6s	^3G	4	9.0	3.782419	0.000004		35	L10405
5d^3(^2G)6s	^3G	5	11.0	3.869765	0.000004		42 | 5d^3(^2H)6s | ^3H	L10405
5d^3(^2G)6s	^3G	3	7.0	3.9453954	0.0000025		35	L10405
5d^3(^2G)6s	^3G	1	3.0	3.947481	0.000004		23 | 5d^3(^2P)6s | ^1P	L10405
5d^3(^2G)6s	^3G	4	9.0	4.1697659	0.0000025		27 | 5d^3(^2H)6s | ^3H	L10405
5d^3(^2G)6s	^3G	2	5.0	4.212033	0.000004		17 | 5d^4 | ^3F2	L10405
5d^3(^2H)6s	^3H	6	13.0	4.392637	0.000005		97	L10405
5d^3(^2H)6s	^3H	3	7.0	4.491509	0.000004		22 | 5d^4 | ^3F2	L10405
5d^3(^2H)6s	^3H	2	5.0	4.507236	0.000004		16 | 5d^4 | ^3F2	L10405
5d^3(^2H)6s	^3H	4	9.0	4.521368	0.000004		28 | 5d^4 | ^3F1	L10405
5d^3(^2H)6s	^3H	5	11.0	4.575559	0.000004		52	L10405
5d^3(^4F)6s	^3F	4	9.0	4.6828559	0.0000025		36	L10405
5d^3(^4F)6s	^3F	1	3.0	4.687711	0.000004		33 | 5d^4 | ^3P1	L10405
5d^3(^2D2)6s	^3D	3	7.0	4.875216	0.000004		52	L10405
5d^3(^2D2)6s	^3D	2	5.0	4.878151	0.000004		20 | 5d^3(^2D2)6s | ^3D	L10405
5d^3(^2H)6s	^1H	5	11.0	5.123343	0.000004		88	L10405
5d^3(^2F)6s	^3F	2	5.0	5.133438	0.000004		39	L10405
5d^3(^2P)6s	^1P	1	3.0	5.154024	0.000004		50	L10405
5d^3(^2F)6s	^3F	3	7.0	5.283704	0.000004		67	L10405
5d^3(^2F)6s	^3F	4	9.0	5.378218	0.000004		67	L10405
5d^3(^2F)6s	^3F	2	5.0	5.627463	0.000004		19 | 5d^3(^2F)6s | ^3F	L10405
5d^3(^4P)6s	^3P	2	5.0	5.735406	0.000004		54	L10405
5d^3(^4P)6s	^3P	4	9.0	5.849777	0.000004		34 | 5d^3(^2G)6s | ^1G	L10405
5d^4	^1D1	2	5.0	5.898898	0.000004		28	L10405
5d^3(^4P)6s	^3P	1	3.0	5.950677	0.000005		44	L10405
5d^26s^2	^3F	2	5.0	6.266111	0.000005		31	L10405
5d^26s^2	^3F	3	7.0	6.323533	0.000004		43	L10405
5d^3(^2F)6s	^1F	3	7.0	6.517610	0.000004		39	L10405
5d^26s^2	^3F	4	9.0	6.889132	0.000007		79	L10405
5d^3(^2D1)6s	^3D	2	5.0	7.021572	0.000006		66	L10405
5d^3(^2D1)6s	^3D	1	3.0	7.033919	0.000007		65	L10405
5d^3(^4F)6p	^5G°	2	5.0	7.095745	0.000006		72	L10405
5d^3(^2D1)6s	^3D	3	7.0	7.114822	0.000005		60	L10405
5d^3(^4F)6p	^5F°	1	3.0	7.463335	0.000006		46	L10405
5d^3(^4F)6p	^5G°	3	7.0	7.623585	0.000005		83	L10405
5d^3(^4F)6p	^5G°	2	5.0	7.788917	0.000006		42 | 5d^3(^4F)6p | ^5D°	L10405
5d^3(^4F)6p	^5G°	4	9.0	8.072121	0.000005		70	L10405
5d^3(^4F)6p	^5F°	2	5.0	8.320728	0.000005		34	L10405
5d^3(^4F)6p	^5F°	3	7.0	8.330172	0.000005		50	L10405
5d^3(^4F)6p	^5D°	0	1.0	8.350537	0.000012		65	L10405
5d^3(^4F)6p	^5D°	1	3.0	8.351440	0.000005		25 | 5d^3(^4F)6p | ^5F°	L10405
5d^3(^4F)6p	^5F°	5	11.0	8.397690	0.000005		36 | ^5G°	L10405
5d^3(^4F)6p	^5F°	0	1.0	8.534895	0.000014		29 | 5d^3(^4F)6p | ^5D°	L10405
5d^3(^4F)6p	^5F°	1	3.0	8.552033	0.000005		27 | 5d^3(^4F)6p | ^5D°	L10405
5d^3(^4F)6p	^5F°	4	9.0	8.706338	0.000004		33	L10405
5d^3(^4F)6p	^5D°	3	7.0	8.763405	0.000005		34	L10405
5d^3(^4F)6p	^5D°	2	5.0	8.773402	0.000005		54	L10405
5d^3(^4F)6p	^5D°	4	9.0	8.936006	0.000005		31	L10405
5d^3(^4F)6p	^5D°	1	3.0	8.979619	0.000007		44	L10405
5d^3(^4F)6p	^3G°	3	7.0	9.036154	0.000005		37 | ^5F°	L10405
5d^3(^4F)6p	^3F°	2	5.0	9.067687	0.000005		40	L10405
5d^3(^4F)6p	^5G°	5	11.0	9.086760	0.000006		59	L10405
5d^3(^4P)6p	^5D°	3	7.0	9.137307	0.000004		22	L10405
5d^3(^4P)6p	^5D°	1	3.0	9.150603	0.000006		23 | 5d^3(^4P)6p | ^5D°	L10405
5d^3(^4P)6p	^5D°	4	9.0	9.177478	0.000004		42 | 5d^3(^2G)6p | ^3H°	L10405
5d^3(^4P)6p	^5D°	2	5.0	9.273020	0.000005		31 | 5d^3(^4F)6p | ^3D°	L10405
5d^3(^4P)6p	^5D°	0	1.0	9.316511	0.000006		52	L10405
5d^3(^4F)6p	^5G°	6	13.0	9.385258	0.000007		79	L10405
5d^3(^4F)6p	^5G°	5	11.0	9.398027	0.000004		36 | 5d^3(^4F)6p | ^5F°	L10405
5d^3(^4F)6p	^5G°	2	5.0	9.427734	0.000005		18 | 5d^2(^3F)6s6p(^3P°) | ^5G°	L10405
5d^3(^4F)6p	^5G°	3	7.0	9.439487	0.000004		21 | 5d^3(^2G)6p | ^3G°	L10405
5d^3(^4P)6p	^5D°	1	3.0	9.469676	0.000005		34	L10405
5d^3(^4P)6p	^5D°	2	5.0	9.525878	0.000005		21	L10405
5d^3(^4F)6p	^3F°	3	7.0	9.555677	0.000005		28	L10405
5d^2(^3F)6s6p(^3P°)	^5G°	2	5.0	9.640639	0.000005		35	L10405
5d^2(^3F)6s6p(^3P°)	^5G°	4	9.0	9.649398	0.000005		23 | 5d^3(^2H)6p | ^3H°	L10405
5d^3(^4F)6p	^3G°	4	9.0	9.721396	0.000004		54	L10405
5d^3(^2P)6p	^3P°	0	1.0	9.733714	0.000007		43	L10405
5d^3(^4P)6p	^5P°	2	5.0	9.768277	0.000005		32	L10405
5d^3(^4P)6p	^5P°	3	7.0	9.812086	0.000004		16 | 5d^2(^3F)6s6p(^3P°) | ^5D°	L10405
5d^3(^4P)6p	^5P°	1	3.0	9.821562	0.000006		35	L10405
5d^3(^4F)6p	^3F°	4	9.0	9.868861	0.000005		42	L10405
5d^3(^4P)6p	^5P°	3	7.0	9.881510	0.000005		44	L10405
5d^3(^4F)6p	^3G°	5	11.0	9.979970	0.000005		32	L10405
5d^3(^4F)6p	^3G°	3	7.0	9.987996	0.000005		28 | 5d^2(^3F)6s6p(^3P°) | ^5G°	L10405
5d^3(^2H)6p	^3I°	6	13.0	10.044389	0.000006		51	L10405
5d^3(^2H)6p	^3I°	1	3.0	10.049456	0.000005		34 | 5d^3(^2P)6p | ^3S°	L10405
5d^3(^2H)6p	^3I°	2	5.0	10.079101	0.000005		20 | 5d^3(^2D2)6p | ^3D°	L10405
5d^2(^3F)6s6p(^3P°)	^5F°	1	3.0	10.178536	0.000005		53	L10405
5d^3(^2H)6p	^3I°	5	11.0	10.192844	0.000005		34 | 5d^3(^2G)6p | ^3H°	L10405
5d^3(^2G)6p	^3G°	4	9.0	10.228954	0.000004		55	L10405
5d^3(^2G)6p	^3G°	2	5.0	10.266117	0.000005		11 | 5d^2(^3F)6s6p(^3P°) | ^5F°	L10405
5d^3(^2G)6p	^3F°	2	5.0	10.288232	0.000005		36	L10405
5d^3(^4P)6p	^5D°	4	9.0	10.361488	0.000005		65	L10405
5d^3(^4P)6p	^5D°	1	3.0	10.365322	0.000007		27 | 5d^3(^2P)6p | ^1P°	L10405
5d^2(^3F)6s6p(^3P°)	^5G°	3	7.0	10.366528	0.000006		32	L10405
5d^3(^2G)6p	^3G°	5	11.0	10.409345	0.000005		38	L10405
5d^3(^2G)6p	^3G°	3	7.0	10.430422	0.000005		25	L10405
5d^3(^2P)6p	^3P°	1	3.0	10.462935	0.000009		29	L10405
5d^3(^2G)6p	^3F°	4	9.0	10.522416	0.000004		28 | 5d^3(^2H)6p | ^3H°	L10405
5d^3(^2G)6p	^3F°	2	5.0	10.544134	0.000006		22 | 5d^2(^3F)6s6p(^3P°) | ^5F°	L10405
5d^2(^3F)6s6p(^3P°)	^5G°	4	9.0	10.548362	0.000006		53	L10405
