Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^4(^5D)6s	^6D	^1/_2	2.0	0.00000000	0.00000007	3.186	80	L12177
5d^4(^5D)6s	^6D	^3/_2	4.0	0.18831080	0.00000010	1.839	90	L12177
5d^4(^5D)6s	^6D	^5/_2	6.0	0.39333652	0.00000012	1.639	95	L12177
5d^4(^5D)6s	^6D	^7/_2	8.0	0.58474395	0.00000012	1.563	94	L12177
5d^4(^5D)6s	^6D	^9/_2	10.0	0.76214141	0.00000012	1.522	88	L12177
5d^5	^6S	^5/_2	6.0	0.91999511	0.00000012	1.913	81	L12177
5d^36s^2	^4F	^3/_2	4.0	1.08006032	0.00000014	0.624	54	L12177
5d^36s^2	^4F	^1/_2	2.0	1.09511870	0.00000017	2.383	30 | 5d^4(^3P2)6s | ^4P	L12177
5d^36s^2	^4F	^3/_2	4.0	1.31330076	0.00000014	1.471	29 | 5d^4(^3P2)6s | ^4P	L12177
5d^36s^2	^4F	^5/_2	6.0	1.40114840	0.00000014	1.084	55	L12177
5d^4(^5D)6s	^4D	^1/_2	2.0	1.63328563	0.00000012	0.455	62	L12177
5d^36s^2	^4F	^7/_2	8.0	1.66286851	0.00000014	1.186	40	L12177
5d^36s^2	^4F	^5/_2	6.0	1.66561240	0.00000014	1.526	25 | 5d^4(^3P2)6s | ^4P	L12177
5d^4(^5D)6s	^4D	^3/_2	4.0	1.81442642	0.00000012	1.183	55	L12177
5d^4(^5D)6s	^4D	^9/_2	10.0	1.84205307	0.00000015	1.234	24 | 5d^4(^3F2)6s | ^4F	L12177
5d^4(^5D)6s	^4D	^5/_2	6.0	1.85576387	0.00000014	1.013	25 | 5d^4(^5D)6s | ^4D	L12177
5d^4(^3H)6s	^4H	^7/_2	8.0	1.87798580	0.00000015	0.872	46	L12177
5d^4(^3H)6s	^4H	^5/_2	6.0	2.01284813	0.00000016	0.995	28 | 5d^4(^3G)6s | ^4G	L12177
5d^4(^3H)6s	^4H	^9/_2	10.0	2.05232122	0.00000016	1.137	39	L12177
5d^4(^3H)6s	^4H	^7/_2	8.0	2.05684863	0.00000014	1.153	22 | 5d^4(^5D)6s | ^4D	L12177
5d^4(^3H)6s	^4H	^11/_2	12.0	2.16190404	0.00000016	1.181	53	L12177
5d^4(^3H)6s	^4H	^7/_2	8.0	2.23179331	0.00000015	1.098	20 | 5d^4(^3G)6s | ^4G	L12177
5d^4(^3H)6s	^4H	^3/_2	4.0	2.3545751	0.0000004	0.90	19 | 5d^36s^2 | ^2D2	L12177
5d^4(^3H)6s	^4H	^9/_2	10.0	2.36444686	0.00000016	1.102	26 | 5d^4(^3G)6s | ^4G	L12177
