Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^3	^4F	^3/_2	4.0	0.000000	0.000019		86	L6352
5d^3	^4F	^5/_2	6.0	0.438593	0.000016		96	L6352
5d^3	^4F	^7/_2	8.0	0.836228	0.000015		92	L6352
5d^3	^4F	^9/_2	10.0	1.147646	0.000020		71	L6352
5d^3	^4P	^3/_2	4.0	1.267199	0.000015		40	L6352
5d^3	^4P	^1/_2	2.0	1.459656	0.000017		58	L6352
5d^3	^2G	^7/_2	8.0	1.892113	0.000012		88	L6352
5d^3	^2H	^9/_2	10.0	2.009145	0.000016		53	L6352
5d^3	^4P	^5/_2	6.0	2.131273	0.000011		89	L6352
5d^3	^2P	^1/_2	2.0	2.276940	0.000019		54	L6352
5d^3	^2D2	^3/_2	4.0	2.296065	0.000011		30	L6352
5d^3	^2H	^11/_2	12.0	2.755308	0.000020		100	L6352
5d^3	^2D2	^5/_2	6.0	2.822670	0.000009		73	L6352
5d^3	^2G	^9/_2	10.0	2.987527	0.000015		51	L6352
5d^3	^2P	^3/_2	4.0	3.120411	0.000010		48	L6352
5d^3	^2F	^5/_2	6.0	3.463825	0.000009		80	L6352
5d^3	^2F	^7/_2	8.0	3.522655	0.000010		91	L6352
5d^2(^3F)6s	^4F	^3/_2	4.0	4.053341	0.000007		94	L6352
5d^2(^3F)6s	^4F	^5/_2	6.0	4.351074	0.000007		89	L6352
5d^2(^3F)6s	^4F	^7/_2	8.0	4.839070	0.000006		97	L6352
5d^2(^3F)6s	^4F	^9/_2	10.0	5.359143	0.000009		95	L6352
5d^3	^2D1	^5/_2	6.0	5.366854	0.000007		74	L6352
5d^3	^2D1	^3/_2	4.0	5.423257	0.000009		68	L6352
5d^2(^3P)6s	^4P	^1/_2	2.0	5.643381	0.000009		95	L6352
5d^2(^3P)6s	^4P	^5/_2	6.0	5.714128	0.000005		27	L6352
5d^2(^3P)6s	^4P	^3/_2	4.0	5.911511	0.000005		90	L6352
5d^2(^3F)6s	^2F	^5/_2	6.0	6.117013	0.000004		46	L6352
5d^2(^1D)6s	^2D	^3/_2	4.0	6.429870	0.000005		73	L6352
5d^2(^3F)6s	^2F	^7/_2	8.0	6.549867	0.000005		63	L6352
5d^2(^1D)6s	^2D	^5/_2	6.0	6.994636	0.000005		58	L6352
5d^2(^1G)6s	^2G	^9/_2	10.0	7.073305	0.000006		94	L6352
5d^2(^1G)6s	^2G	^7/_2	8.0	7.237273	0.000005		66	L6352
5d^2(^3P)6s	^2P	^1/_2	2.0	7.392952	0.000005		88	L6352
5d^2(^3P)6s	^2P	^3/_2	4.0	8.019417	0.000005		84	L6352
5d^2(^1S)6s	^2S	^1/_2	2.0	9.622152	0.000007		92	L6352
5d^2(^3F)6p	^4G°	^5/_2	6.0	10.574611	0.000006		64	L6352
5d6s^2	^2D	^3/_2	4.0	10.807972	0.000010		95	L6352
5d^2(^3F)6p	^4F°	^3/_2	4.0	11.145319	0.000005		49	L6352
5d^2(^3F)6p	^4G°	^7/_2	8.0	11.511401	0.000006		77	L6352
5d^2(^3F)6p	^4F°	^5/_2	6.0	11.719641	0.000006		42	L6352
5d6s^2	^2D	^5/_2	6.0	11.744409	0.000012		97	L6352
5d^2(^3P)6p	^4D°	^1/_2	2.0	12.207944	0.000007		43	L6352
5d^2(^3P)6p	^4D°	^5/_2	6.0	12.236219	0.000006		14	L6352
5d^2(^3F)6p	^4G°	^9/_2	10.0	12.277939	0.000007		51	L6352
5d^2(^1D)6p	^2D°	^3/_2	4.0	12.381952	0.000005		27	L6352
5d^2(^3F)6p	^4F°	^7/_2	8.0	12.438387	0.000007		43	L6352
5d^2(^3F)6p	^2D°	^3/_2	4.0	12.454203	0.000007		15	L6352
5d^2(^3P)6p	^2S°	^1/_2	2.0	12.556552	0.000007		39	L6352
5d^2(^3F)6p	^2F°	^7/_2	8.0	12.753961	0.000007		26	L6352
