Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^10	^1S	0	1.0	0.0000	0			L9171
3d^94s	^3D	3	7.0	9.68271				
3d^94s	^3D	2	5.0	9.82867				
3d^94s	^3D	1	3.0	10.02415				
3d^94s	^1D	2	5.0	10.35272				
3d^94p	^3P°	2	5.0	17.09326			98	
3d^94p	^3P°	1	3.0	17.36659			97	
3d^94p	^3F°	3	7.0	17.43897			71	
3d^94p	^3F°	4	9.0	17.52231			100	
3d^94p	^3P°	0	1.0	17.53044			100	
3d^94p	^3F°	2	5.0	17.66568			96	
3d^94p	^1F°	3	7.0	17.91587			67	
3d^94p	^1D°	2	5.0	18.00795			62	
3d^94p	^3D°	3	7.0	18.09755			82	
3d^94p	^1P°	1	3.0	18.28750			98	
3d^94p	^3D°	1	3.0	18.29650			97	
3d^94p	^3D°	2	5.0	18.33993			61	
3d^84s^2	^3F	4	9.0	23.59931				
3d^84s^2	^3F	3	7.0	23.89965				
3d^84s^2	^3F	2	5.0	24.09054				
3d^84s^2	^1D	2	5.0	25.79383				
3d^84s^2	^3P	2	5.0	26.25062				
3d^84s^2	^3P	1	3.0	26.27482				
3d^84s^2	^3P	0	1.0	26.32684				
3d^94d	^3S	1	3.0	26.57688				
3d^9(^2D_5/2)5s	(^5/_2,^1/_2)	3	7.0	26.64148				
3d^9(^2D_5/2)5s	(^5/_2,^1/_2)	2	5.0	26.69882				
3d^94d	^3G	4	9.0	26.83818				
3d^94d	^3G	5	11.0	26.85589				
3d^94d	^3P	1	3.0	26.89159				
3d^94d	^3P	2	5.0	26.91372				
3d^94d	^3D	3	7.0	26.98588				
3d^9(^2D_3/2)5s	(^3/_2,^1/_2)	1	3.0	26.98686				
3d^9(^2D_3/2)5s	(^3/_2,^1/_2)	2	5.0	27.00956				
3d^94d	^3F	3	7.0	27.03358				
3d^94d	^3F	4	9.0	27.03370				
3d^94d	^3P	0	1.0	27.08162				
3d^94d	^3D	2	5.0	27.09554				
3d^94d	^1P	1	3.0	27.14131				
3d^94d	^1G	4	9.0	27.19717				
3d^94d	^3G	3	7.0	27.23746				
3d^94d	^3D	1	3.0	27.27734				
3d^94d	^1D	2	5.0	27.35938				
3d^84s^2	^1G	4	9.0	27.40698				
3d^94d	^1F	3	7.0	27.41832				
3d^94d	^3F	2	5.0	27.44311				
3d^94d	^1S	0	1.0	28.59150				
3d^84s^2	^1S	0	1.0	28.91366				
3d^95p	^3P°	2	5.0	28.96400				
3d^95p	^3F°	3	7.0	29.05991				
3d^95p	^3F°	4	9.0	29.08372				
3d^95p	^3P°	1	3.0	29.11978				
3d^95p	^3D°	2	5.0	29.19239				
3d^95p	^3D°	3	7.0	29.21364				
3d^95p	^3P°	0	1.0	29.32970				
3d^95p	^3F°	2	5.0	29.39018				
3d^95p	^1P°	1	3.0	29.44709				
3d^95p	^1F°	3	7.0	29.46394				
3d^95p	^3D°	1	3.0	29.53372				
3d^84s(^4F)4p	^5D°	4	9.0	29.8692			92	
3d^84s(^4F)4p	^5D°	3	7.0	30.0960			89	
3d^84s(^4F)4p	^5D°	2	5.0	30.2829			89	
3d^84s(^4F)4p	^5G°	4	9.0	30.3930			81	
3d^84s(^4F)4p	^5D°	1	3.0	30.4137			91	
3d^84s(^4F)4p	^5G°	3	7.0	30.4990			88	
3d^84s(^4F)4p	^5G°	2	5.0	30.5865			94	
3d^84s(^4F)4p	^5F°	4	9.0	30.7666			81	
3d^84s(^4F)4p	^5F°	3	7.0	30.8733			83	
