Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s	^2S	^1/_2	2.0	0.000000	0			L9171
3d^104p	^2P°	^1/_2	2.0	6.010878				
3d^104p	^2P°	^3/_2	4.0	6.119245				
3d^94s^2	^2D	^5/_2	6.0	7.776593				
3d^94s^2	^2D	^3/_2	4.0	8.113729				
3d^105s	^2S	^1/_2	2.0	10.964809				
3d^104d	^2D	^3/_2	4.0	12.015276				
3d^104d	^2D	^5/_2	6.0	12.021557				
3d^105p	^2P°	^1/_2	2.0	12.56777				
3d^105p	^2P°	^3/_2	4.0	12.59821				
3d^9(^2D)4s4p(^3P°)	^4P°	^5/_2	6.0	12.85736			98	
3d^9(^2D)4s4p(^3P°)	^4P°	^3/_2	4.0	13.05835			96	
3d^9(^2D)4s4p(^3P°)	^4P°	^1/_2	2.0	13.20789			98	
3d^9(^2D)4s4p(^3P°)	^4F°	^9/_2	10.0	13.23902			100	
3d^9(^2D)4s4p(^3P°)	^4F°	^7/_2	8.0	13.24801			89	
3d^9(^2D)4s4p(^3P°)	^4F°	^5/_2	6.0	13.29961			82	
3d^9(^2D)4s4p(^3P°)	^4F°	^3/_2	4.0	13.41855			97	
3d^9(^2D)4s4p(^3P°)	^2F°	^5/_2	6.0	13.72162			73	
3d^9(^2D)4s4p(^3P°)	^4D°	^7/_2	8.0	13.74578			84	
3d^9(^2D)4s4p(^3P°)	^4D°	^5/_2	6.0	13.85437			63	
3d^9(^2D)4s4p(^3P°)	^4D°	^3/_2	4.0	13.88552			59	
3d^9(^2D)4s4p(^3P°)	^2F°	^7/_2	8.0	13.93703			75	
3d^9(^2D)4s4p(^3P°)	^4D°	^1/_2	2.0	13.95255			53	
3d^9(^2D)4s4p(^3P°)	^2P°	^1/_2	2.0	14.07133			54	
3d^9(^2D)4s4p(^3P°)	^2P°	^3/_2	4.0	14.07211			93	
3d^9(^2D)4s4p(^3P°)	^2D°	^3/_2	4.0	14.139782			64	
3d^106s	^2S	^1/_2	2.0	14.195945				
3d^9(^2D)4s4p(^3P°)	^2D°	^5/_2	6.0	14.237595			81	
3d^104f	^2F°	^7/_2	8.0	14.53881				
3d^104f	^2F°	^5/_2	6.0	14.53888				
3d^105d	^2D	^3/_2	4.0	14.626332				
3d^105d	^2D	^5/_2	6.0	14.629343				
3d^106p	^2P°	^1/_2	2.0	14.864281				
3d^106p	^2P°	^3/_2	4.0	14.873063				
3d^107s	^2S	^1/_2	2.0	15.60713				
3d^105f	^2F°	^7/_2	8.0	15.77074				
3d^105f	^2F°	^5/_2	6.0	15.77196				
3d^105g	^2G	^9/_2	10.0	15.78453				
3d^105g	^2G	^7/_2	8.0	15.78454				
3d^106d	^2D	^3/_2	4.0	15.82418				
3d^106d	^2D	^5/_2	6.0	15.82580				
3d^107p	^2P°	^3/_2	4.0	15.912559				
3d^107p	^2P°	^1/_2	2.0	15.93426				
3d^9(^2D)4s4p(^1P°)	^2F°	^7/_2	8.0	16.119714			97	
3d^9(^2D)4s4p(^1P°)	^2P°	^3/_2	4.0	16.164015			95	
3d^9(^2D)4s4p(^1P°)	^2D°	^5/_2	6.0	16.322635			55	
3d^108s	^2S	^1/_2	2.0	16.35065				
3d^108p	^2P°	^1/_2	2.0	16.41736				
3d^106f	^2F°	^5/_2	6.0	16.440812				
3d^106f	^2F°	^7/_2	8.0	16.44519				
3d^106g	^2G	^7/_2	8.0	16.45071				
3d^106g	^2G	^9/_2	10.0	16.45071				
3d^107d	^2D	^3/_2	4.0	16.47509				
3d^107d	^2D	^5/_2	6.0	16.47606				
3d^9(^2D)4s4p(^1P°)	^2F°	^5/_2	6.0	16.507970			56	
3d^108p	^2P°	^3/_2	4.0	16.56703				
3d^9(^2D)4s4p(^1P°)	^2P°	^1/_2	2.0	16.58987			97	
3d^9(^2D)4s4p(^1P°)	^2D°	^3/_2	4.0	16.69370			93	
3d^109s	^2S	^1/_2	2.0	16.79035				
3d^107f	^2F°	^7/_2	8.0	16.84820				
3d^107f	^2F°	^5/_2	6.0	16.84854				
3d^107g	^2G	^9/_2	10.0	16.85240				
3d^107g	^2G	^7/_2	8.0	16.85240				
3d^108d	^2D	^3/_2	4.0	16.86829				
3d^108d	^2D	^5/_2	6.0	16.86889				
3d^109p	^2P°	^3/_2	4.0	16.92450?				
3d^108f	^2F°	^7/_2	8.0	17.11008				
3d^108f	^2F°	^5/_2	6.0	17.11023				
3d^109d	^2D	^3/_2	4.0	17.12395				
3d^109d	^2D	^5/_2	6.0	17.12439				
