Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^9	^2D	^5/_2	6.0	0.00000	0		100	L9171
3p^63d^9	^2D	^3/_2	4.0	0.34208			100	
3p^63d^8(^3F)4s	^4F	^9/_2	10.0	15.96046			100	
3p^63d^8(^3F)4s	^4F	^7/_2	8.0	16.16334			96	
3p^63d^8(^3F)4s	^4F	^5/_2	6.0	16.34168			98	
3p^63d^8(^3F)4s	^4F	^3/_2	4.0	16.46229			99	
3p^63d^8(^3F)4s	^2F	^7/_2	8.0	16.85580			96	
3p^63d^8(^3F)4s	^2F	^5/_2	6.0	17.16926			97	
3p^63d^8(^1D)4s	^2D	^5/_2	6.0	18.37194			51	
3p^63d^8(^1D)4s	^2D	^3/_2	4.0	18.49730			80	
3p^63d^8(^3P)4s	^4P	^3/_2	4.0	18.75255			85	
3p^63d^8(^3P)4s	^4P	^1/_2	2.0	18.77027			100	
3p^63d^8(^3P)4s	^4P	^5/_2	6.0	18.79282			52	
3p^63d^8(^3P)4s	^2P	^3/_2	4.0	19.47479			96	
3p^63d^8(^3P)4s	^2P	^1/_2	2.0	19.58076			100	
3p^63d^8(^1G)4s	^2G	^9/_2	10.0	19.94732			100	
3p^63d^8(^1G)4s	^2G	^7/_2	8.0	19.95141			100	
3p^63d^8(^1S)4s	^2S	^1/_2	2.0	24.71861			100	
3p^63d^8(^3F)4p	^4D°	^7/_2	8.0	24.96037			91	
3p^63d^8(^3F)4p	^4D°	^5/_2	6.0	25.25367			90	
3p^63d^8(^3F)4p	^4G°	^9/_2	10.0	25.34820			60	
3p^63d^8(^3F)4p	^4G°	^11/_2	12.0	25.44912			100	
3p^63d^8(^3F)4p	^4D°	^3/_2	4.0	25.47293			91	
3p^63d^8(^3F)4p	^4G°	^7/_2	8.0	25.53963			78	
3p^63d^8(^3F)4p	^4D°	^1/_2	2.0	25.60435			92	
3p^63d^8(^3F)4p	^4G°	^5/_2	6.0	25.68646			91	
3p^63d^8(^3F)4p	^4F°	^9/_2	10.0	25.75611			81	
3p^63d^8(^3F)4p	^4F°	^7/_2	8.0	25.90294			67	
3p^63d^8(^3F)4p	^2G°	^9/_2	10.0	25.90898			61	
3p^63d^8(^3F)4p	^4F°	^5/_2	6.0	26.02416			78	
3p^63d^8(^3F)4p	^4F°	^3/_2	4.0	26.05988			82	
