Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s^2	^1S	0	1.0	0.00000000	0.00000024		97	L9171
3d^104s4p	^3P°	0	1.0	4.00609281	0.00000012		98	L9761
3d^104s4p	^3P°	1	3.0	4.02965990	0.00000000	1.496	98	L9761
3d^104s4p	^3P°	2	5.0	4.07788079	0.00000011	1.505	98	L9761
3d^104s4p	^1P°	1	3.0	5.7956913	0.0000003		95	L9761
3d^104s5s	^3S	1	3.0	6.65450963	0.00000010	2.001	100	L9761
3d^104s5s	^1S	0	1.0	6.9169812	0.0000004		98	L9761,L4741
3d^104s5p	^3P°	0	1.0	7.5937676	0.0000006		99	L4741,L18676
3d^104s5p	^3P°	1	3.0	7.5970597	0.0000005		99	L4741
3d^104s5p	^3P°	2	5.0	7.6040557	0.0000004		99	L4741,L18676
3d^104s4d	^1D	2	5.0	7.7438711	0.0000003		95	L9761
3d^104s4d	^3D	1	3.0	7.78233268	0.00000016		100	L9761
3d^104s4d	^3D	2	5.0	7.78273789	0.00000019		100	L9761
3d^104s4d	^3D	3	7.0	7.7833537	0.0000003		100	L9761
3d^104s5p	^1P°	1	3.0	7.7999000	0.0000009		95	L18676
3d^104s6s	^3S	1	3.0	8.1125699	0.0000003		100	L9761,L18676
3d^104s6s	^1S	0	1.0	8.1876271	0.0000004		97	L9761
3d^104s6p	^3P°	0	1.0	8.4397137	0.0000010		100	L18676
3d^104s6p	^3P°	1	3.0	8.4409320	0.0000010		99	L18676
3d^104s6p	^3P°	2	5.0	8.4435502	0.0000009		100	L18676
3d^104s5d	^1D	2	5.0	8.4728970	0.0000003		96	L9761
3d^104s5d	^3D	1	3.0	8.50272969	0.00000017		100	L9761
3d^104s5d	^3D	2	5.0	8.50292377	0.00000019		100	L9761
3d^104s5d	^3D	3	7.0	8.5032185	0.0000003		100	L9761
3d^104s6p	^1P°	1	3.0	8.5062125	0.0000009		97	L18676
3d^104s4f	^3F°	2	5.0	8.5343044	0.0000012		100	L18676
3d^104s4f	^3F°	3	7.0	8.5343107	0.0000016		95	L18676
3d^104s4f	^3F°	4	9.0	8.5343304	0.0000010		100	L18676
3d^104s4f	^1F°	3	7.0	8.5343566	0.0000012		95	L18676
3d^104s7s	^3S	1	3.0	8.64739682	0.00000020		100	L9761
3d^104s7s	^1S	0	1.0	8.6793572	0.0000005		97	L9761
3d^104s7p	^3P°	0	1.0	8.8000717	0.0000021		100	L18676
3d^104s7p	^3P°	1	3.0	8.8006589	0.0000011		100	L18676
3d^104s7p	^3P°	2	5.0	8.8019239	0.0000014		100	L18676
3d^104s6d	^1D	2	5.0	8.8092062	0.0000012		97	L18676
3d^104s6d	^3D	1	3.0	8.82917985	0.00000020		100	L9761
3d^104s6d	^3D	2	5.0	8.82928354	0.00000019		100	L9761
3d^104s6d	^3D	3	7.0	8.8294408	0.0000003		100	L9761
3d^104s7p	^1P°	1	3.0	8.8300299	0.0000010		97	L4741
3d^104s5f	^3F°	2	5.0	8.8445176	0.0000019		100	L18676
3d^104s5f	^3F°	3	7.0	8.8445198	0.0000014		95	L18676
3d^104s5f	^3F°	4	9.0	8.8445344	0.0000016		100	L18676
3d^104s5f	^1F°	3	7.0	8.8445524	0.0000006		95	L4741
3d^104s5g	^1G	4	9.0	8.8486580	0.0000014		72	L18676
3d^104s5g	^3G	3	7.0	8.8486580	0.0000012		100	L18676
3d^104s5g	^3G	4	9.0	8.8486580	0.0000015		72	L18676
3d^104s5g	^3G	5	11.0	8.8486580	0.0000015		100	L18676
3d^104s8s	^3S	1	3.0	8.90495	0.00006		100	L3428
3d^104s8s	^1S	0	1.0	8.92144	0.00003		97	L3284
3d^104s8p	^3P°	0	1.0	8.988334	0.000020		100	L3284,L18491
3d^104s8p	^3P°	1	3.0	8.988703	0.000014		100	L3641,L3284
3d^104s8p	^3P°	2	5.0	8.989370	0.000019		100	L18491,L3284
3d^104s7d	^1D	2	5.0	8.990962	0.000020		97	L3641
3d^104s7d	^3D	1	3.0	9.00448	0.00009		100	L3428
3d^104s7d	^3D	2	5.0	9.00448	0.00009		100	L3428
3d^104s8p	^1P°	1	3.0	9.004519	0.000020		98	L3641
3d^104s7d	^3D	3	7.0	9.00461	0.00004		100	L3284
3d^104s6f	^3F°	2	5.0	9.012930	0.000025		100	L18491
3d^104s6f	^3F°	3	7.0	9.01293	0.00003		95	L18491
3d^104s6f	^3F°	4	9.0	9.0129296	0.0000025		100	L18676
3d^104s6f	^1F°	3	7.0	9.0129463	0.0000015		95	L18676
3d^104s6g	^3G	4	9.0	9.0154174	0.0000019		83	L18676
3d^104s6g	^3G	5	11.0	9.0154174	0.0000019		100	L18676
3d^104s6g	^3G	3	7.0	9.0154174	0.0000016		100	L18676
3d^104s6g	^1G	4	9.0	9.0154174	0.0000017		83	L18676
3d^104s6h	(^1/_2,^11/_2)°	5	11.0	9.0159855	0.0000020		100 | or	L18676
3d^104s6h	(^1/_2,^9/_2)°	4	9.0	9.0159855	0.0000019		100 | or	L18676
3d^104s6h	(^1/_2,^9/_2)°	5	11.0	9.0159855	0.0000020		100 | or	L18676
3d^104s6h	(^1/_2,^11/_2)°	6	13.0	9.0159855	0.0000020		100 | or	L18676
3d^104s9s	^3S	1	3.0	9.04904	0.00007		100	L3428
3d^104s9s	^1S	0	1.0	9.05837	0.00003		96	L3284
3d^104s9p	^3P°	0	1.0	9.09929	0.00003		100	L3428
3d^104s9p	^3P°	1	3.0	9.099551	0.000015		100	L3641,L3284
3d^104s8d	^1D	2	5.0	9.099861	0.000004		97	L3641
3d^104s9p	^3P°	2	5.0	9.099924	0.000021		100	L3284
3d^104s9p	^1P°	1	3.0	9.109043	0.000020		98	L3641
3d^104s8d	^3D	1	3.0	9.10924	0.00011		100	
3d^104s8d	^3D	2	5.0	9.10924	0.00009		100	L3428
3d^104s8d	^3D	3	7.0	9.10924	0.00009		100	L3428
3d^104s7f	^3F°	2	5.0	9.11289	0.00021		100	L18491
3d^104s7f	^3F°	3	7.0	9.11289	0.00021		95	L18491
3d^104s7f	^3F°	4	9.0	9.11289	0.00021		100	L18491
3d^104s7f	^1F°	3	7.0	9.11289	0.00021		95	
3d^104s7g	^3G	4	9.0	9.115963	0.000003		89	L18491
