Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^2	^3F	2	5.0	0.000000	0		99	L9267
4d^2	^3F	3	7.0	0.084506			100	
4d^2	^3F	4	9.0	0.184296			100	
4d^2	^1D	2	5.0	0.712090			88	
4d^2	^3P	0	1.0	0.999763			99	
4d^2	^3P	1	3.0	1.032431			100	
4d^2	^3P	2	5.0	1.096017			96	
4d^2	^1G	4	9.0	1.370096			100	
4d5s	^3D	1	3.0	2.281454			100	
4d5s	^3D	2	5.0	2.331560			99	
4d5s	^3D	3	7.0	2.422139			100	
4d^2	^1S	0	1.0	2.973000			95	
4d5s	^1D	2	5.0	3.108079			91	
5s^2	^1S	0	1.0	6.014051			92	
4d5p	^1D°	2	5.0	6.651613			66	
4d5p	^3F°	2	5.0	6.888265			64	
4d5p	^3D°	1	3.0	6.895489			95	
4d5p	^3F°	3	7.0	6.952702			92	
4d5p	^3D°	2	5.0	6.997392			95	
4d5p	^3D°	3	7.0	7.110352			91	
4d5p	^3F°	4	9.0	7.151919			100	
4d5p	^3P°	1	3.0	7.401791			81	
4d5p	^3P°	0	1.0	7.432559			98	
4d5p	^3P°	2	5.0	7.483488			95	
4d5p	^1P°	1	3.0	7.701577			76	
4d5p	^1F°	3	7.0	7.760258			97	
5s5p	^3P°	0	1.0	9.849295			98	
5s5p	^3P°	1	3.0	9.931991			98	
5s5p	^3P°	2	5.0	10.111885			99	
5s5p	^1P°	1	3.0	12.245075			90	
4d5d	^1F	3	7.0	12.842904			81	
4d5d	^3D	1	3.0	12.860322			71	
4d5d	^3D	2	5.0	12.908106			72	
4d5d	^3G	3	7.0	12.973333			58	
4d5d	^3D	3	7.0	13.003822			38	
4d(^2D_3/2)6s	^2[^3/_2]	1	3.0	13.019871			67 | or	
4d5d	^3G	4	9.0	13.042282			98	
4d(^2D_3/2)6s	^2[^3/_2]	2	5.0	13.058737			72 | or	
4d5d	^1P	1	3.0	13.087110			61	
4d5d	^3G	5	11.0	13.138544				
4d(^2D_5/2)6s	^2[^5/_2]	3	7.0	13.180308			83 | or	
4d(^2D_5/2)6s	^2[^5/_2]	2	5.0	13.204870			84 | or	
4d5d	^3S	1	3.0	13.264621			90	
4d5d	^3F	2	5.0	13.298198			93	
4d5d	^3F	3	7.0	13.368472			97	
4d5d	^3F	4	9.0	13.429880			98	
4d5d	^3P	0	1.0	13.540524			92	
4d5d	^1D	2	5.0	13.548088			64	
4d5d	^3P	1	3.0	13.588994			93	
4d5d	^3P	2	5.0	13.655488			73	
4d5d	^1G	4	9.0	13.716512			98	
4d5d	^1S	0	1.0	14.078494			91	
4d6p	^1D°	2	5.0	14.582016			49 | or	
4d6p	^3D°	1	3.0	14.605439			92 | or	
4d6p	^3F°	2	5.0	14.670848			53 | or	
4d6p	^3D°	2	5.0	14.731024			40 | or	
4d6p	^3F°	3	7.0	14.735404			85 | or	
4d6p	^3D°	3	7.0	14.757186			80 | or	
4d6p	^3F°	4	9.0	14.852859			74 | or	
4d4f	^1G°	4	9.0	14.875184			62 | or	
4d6p	^1F°	3	7.0	14.918476			75 | or	
4d6p	^3P°	2	5.0	14.924121			88 | or	
4d4f	^3F°	2	5.0	14.947802			88 | or	
4d4f	^3H°	4	9.0	14.960494			81 | or	
4d4f	^3F°	3	7.0	14.976550			87 | or	
4d6p	^1P°	1	3.0	15.002872			62 | or	
4d4f	^3H°	5	11.0	15.004806			95 | or	
4d4f	^3F°	4	9.0	15.036874			76 | or	
4d4f	^3H°	6	13.0	15.091014			100 | or	
4d4f	^3G°	3	7.0	15.128605			85 | or	
4d4f	^1D°	2	5.0	15.136984			85 | or	
4d4f	^3G°	4	9.0	15.201644			90 | or	
4d4f	^3G°	5	11.0	15.237208			96 | or	
4d4f	^1F°	3	7.0	15.288439			42 | or	
4d4f	^3D°	1	3.0	15.292366			86 | or	
4d4f	^3D°	2	5.0	15.300254			75 | or	
4d4f	^3D°	3	7.0	15.369798			53 | or	
4d4f	^3P°	2	5.0	15.432122			74 | or	
4d4f	^3P°	1	3.0	15.459202			86 | or	
4d4f	^3P°	0	1.0	15.477576			97 | or	
4d4f	^1H°	5	11.0	15.552415			96 | or	
5p^2	^3P	0	1.0	15.621451				
5p^2	^1D	2	5.0	15.691548				
4d4f	^1P°	1	3.0	15.726295			78 | or	
5p^2	^3P	1	3.0	15.727879				
5p^2	^3P	2	5.0	15.944405				
5s6s	^3S	1	3.0	17.129049				
5s5d	^3D	1	3.0	17.345751				
5s5d	^3D	2	5.0	17.352076				
5s5d	^3D	3	7.0	17.391092				
4d5f	^1G°	4	9.0	17.87651			47 | or	
4d5f	^3F°	2	5.0	17.91680			79 | or	
4d5f	^3H°	4	9.0	17.91775			48 | or	
