Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^2(^3F)5s	a ^4F	^3/_2	4.0	0.000000	0	0.398		L3465
4d^2(^3F)5s	a ^4F	^5/_2	6.0	0.039014		1.023		L3465
4d^2(^3F)5s	a ^4F	^7/_2	8.0	0.094654		1.235		L3465
4d^2(^3F)5s	a ^4F	^9/_2	10.0	0.164020		1.324		L3465
4d^3	b ^4F	^3/_2	4.0	0.318913		0.413		L3465
4d^3	b ^4F	^5/_2	6.0	0.358940		1.025		L3465
4d^3	b ^4F	^7/_2	8.0	0.409103		1.227		L3465
4d^3	b ^4F	^9/_2	10.0	0.465890		1.326		L3465
4d^2(^1D)5s	a ^2D	^3/_2	4.0	0.526722		0.812		L3465
4d^2(^1D)5s	a ^2D	^5/_2	6.0	0.558611		1.172		L3465
4d^2(^3P)5s	a ^2P	^1/_2	2.0	0.709733		0.690		L3465
4d^2(^3F)5s	a ^2F	^5/_2	6.0	0.713271		0.883		L3465
4d^2(^3P)5s	a ^2P	^3/_2	4.0	0.757754		1.304		L3465
4d^2(^3F)5s	a ^2F	^7/_2	8.0	0.801881		1.144		L3465
4d^2(^3P)5s	a ^4P	^1/_2	2.0	0.931452		2.656		L3465
4d^2(^3P)5s	a ^4P	^3/_2	4.0	0.959144		1.720		L3465
4d^3	a ^2G	^7/_2	8.0	0.971756		0.887		L3465
4d^2(^3P)5s	a ^4P	^5/_2	6.0	0.999085		1.585		L3465
4d^3	a ^2G	^9/_2	10.0	1.010818		1.107		L3465
4d^3	b ^4P	^1/_2	2.0	1.184433		2.649		L3465
4d^3	b ^4P	^3/_2	4.0	1.207953		1.721		L3465
4d^3	b ^4P	^5/_2	6.0	1.235955		1.593		L3465
4d^3	a ^2H	^9/_2	10.0	1.485884		0.910		L3465
4d^3	a ^2H	^11/_2	12.0	1.532403		1.091		L3465
4d^3	b ^2D	^3/_2	4.0	1.664922		0.800		L3465
4d^2(^1G)5s	b ^2G	^7/_2	8.0	1.743188		0.890		L3465
4d^3	b ^2D	^5/_2	6.0	1.755976		1.209		L3465
4d^2(^1G)5s	b ^2G	^9/_2	10.0	1.759392		1.103		L3465
4d5s^2	c ^2D	^3/_2	4.0	1.772805		0.807		L3465
4d5s^2	c ^2D	^5/_2	6.0	1.826705		1.188		L3465
4d^3	b ^2F	^7/_2	8.0	2.409415		1.153		L3465
4d^3	b ^2F	^5/_2	6.0	2.419532		0.855		L3465
4d^3	b ^2P	^1/_2	2.0	2.431769		0.514		L3465
4d^3	b ^2P	^3/_2	4.0	2.489640		1.326		L3465
4d^2(^1S)5s	a ^2S	^1/_2	2.0	3.124596		1.990		L3465
4d^3	d ^2D	^5/_2	6.0	3.426998				L807
4d^3	d ^2D	^3/_2	4.0	3.434357				L807
4d^2(^3F)5p	z ^4G°	^5/_2	6.0	3.469553		0.664		L3465
4d^2(^3F)5p	z ^4G°	^7/_2	8.0	3.584264		0.998		L3465
4d^2(^3F)5p	z ^2F°	^5/_2	6.0	3.658150		0.841		L3465
4d^2(^3F)5p	z ^4F°	^3/_2	4.0	3.691952		0.700		L3465
