Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4p^64d	^2D	^3/_2	4.0	0.000000	0.000025	L11645		L11645
4p^64d	^2D	^5/_2	6.0	0.15507	0.00005	L11645		L11645
4p^65s	^2S	^1/_2	2.0	4.743431	0.000012	L11645		L11645
4p^65p	^2P°	^1/_2	2.0	10.163791	0.000014	L11645		L11645
4p^65p	^2P°	^3/_2	4.0	10.471873	0.000012	L11645		L11645
4p^65d	^2D	^3/_2	4.0	18.182580	0.000004	L11645		L11645
4p^65d	^2D	^5/_2	6.0	18.225982	0.000004	L11645		L11645
4p^66s	^2S	^1/_2	2.0	18.909202	0.000025	L11645		L11645
4p^64f	^2F°	^5/_2	6.0	19.721763	0.000009	L11645		L11645
4p^64f	^2F°	^7/_2	8.0	19.724263	0.000009	L11645		L11645
4p^66p	^2P°	^1/_2	2.0	21.053721	0.000005	L11645		L11645
4p^66p	^2P°	^3/_2	4.0	21.178374	0.000004	L11645		L11645
4p^66d	^2D	^3/_2	4.0	24.519747	0.000004	L11645		L11645
4p^66d	^2D	^5/_2	6.0	24.540246	0.000004	L11645		L11645
4p^67s	^2S	^1/_2	2.0	24.812175	0.000007	L11645		L11645
4p^65f	^2F°	^5/_2	6.0	24.934975	0.000007	L11645		L11645
4p^65f	^2F°	^7/_2	8.0	24.940990	0.000007	L11645		L11645
4p^65g	^2G	^7/_2	8.0	25.647919	0.000016	L11645		L11645
4p^65g	^2G	^9/_2	10.0	25.647952	0.000016	L11645		L11645
4p^67p	^2P°	^1/_2	2.0	25.885838	0.000024	L11645		L11645
4p^67p	^2P°	^3/_2	4.0	25.949603	0.000017	L11645		L11645
4p^66f	^2F°	^5/_2	6.0	27.824521	0.000004	L11645		L11645
4p^66f	^2F°	^7/_2	8.0	27.832978	0.000005	L11645		L11645
4p^68s	^2S	^1/_2	2.0	27.873319	0.000014	L11645		L11645
4p^66g	^2G	^7/_2	8.0	28.327892	0.000009	L11645		L11645
4p^66g	^2G	^9/_2	10.0	28.327920	0.000009	L11645		L11645
4p^66h	^2H°	^9/_2	10.0	28.360625	0.000016	L11645		L11645
4p^66h	^2H°	^11/_2	12.0	28.360625	0.000016	L11645		L11645
4p^67g	^2G	^7/_2	8.0	29.945452	0.000012	L11645		L11645
4p^67g	^2G	^9/_2	10.0	29.945472	0.000012	L11645		L11645
4p^68g	^2G	^7/_2	8.0	30.995471	0.000016	L11645		L11645
4p^68g	^2G	^9/_2	10.0	30.995484	0.000016	L11645		L11645
4p^69g	^2G	^7/_2	8.0	31.71518	0.00006	L11645		L11645
4p^69g	^2G	^9/_2	10.0	31.71534	0.00011	L11645		L11645
