Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^25s^2	a ^3F	2	5.0	0.000000	0	0.66	96 | ^3F	L3465
4d^25s^2	a ^3F	3	7.0	0.070722		1.06	97 | ^3F	
4d^25s^2	a ^3F	4	9.0	0.153845		1.24	97 | ^3F	
4d^25s^2	a ^3P	2	5.0	0.519011		1.25	49 | ^1D	
4d^25s^2	a ^3P	0	1.0	0.520343		0.00	74 | ^3P	
4d^25s^2	a ^3P	1	3.0	0.542590		1.48	74 | ^3P	
4d^3(^4F)5s	a ^5F	1	3.0	0.603869		0.00	100 | ^5F	
4d^3(^4F)5s	a ^5F	2	5.0	0.622823		0.98	98 | ^5F	
4d^25s^2	a ^1D	2	5.0	0.632528		1.25	42 | ^3P	
4d^3(^4F)5s	a ^5F	3	7.0	0.650802		1.28	99 | ^5F	
4d^3(^4F)5s	a ^5F	4	9.0	0.686939		1.31	100 | ^5F	
4d^3(^4F)5s	a ^5F	5	11.0	0.730134		1.37	100 | ^5F	
4d^25s^2	a ^1G	4	9.0	0.998978		1.00	82 | ^1G	
4d^3(^4P)5s	a ^5P	1	3.0	1.349613		2.58	100 | ^5P	
4d^3(^4P)5s	a ^5P	2	5.0	1.365891		1.85	99 | ^5P	
4d^3(^4P)5s	a ^5P	3	7.0	1.395861		1.66		
4d^3(^4F)5s	b ^3F	2	5.0	1.443265		0.75	96 | ^3F	
4d^3(^4F)5s	b ^3F	3	7.0	1.482396		1.05		
4d^3(^4F)5s	b ^3F	4	9.0	1.530259		1.15	51 | ^3F	
4d^3(^2G)5s	a ^3G	3	7.0	1.550229		0.78		
4d^3(^2G)5s	a ^3G	4	9.0	1.582120		1.15	51 | ^3G	
4d^3(^2G)5s	a ^3G	5	11.0	1.583623		1.21	95 | ^3G	
4d^3(b ^2D)5s	a ^3D	1	3.0	1.751030		0.61	68 | ^3D	
4d^3(b ^2D)5s	a ^3D	2	5.0	1.779022		1.17	71 | ^3D	
4d^3(b ^2D)5s	a ^3D	3	7.0	1.822199		1.35		
4d^25s5p	z ^5G°	2	5.0	1.832925		0.36	81 | 4d^2(^3F)5s5p(^3P) | ^5G°	
4d^3(^2H)5s	a ^3H	4	9.0	1.833885		0.77	96 | ^3H	
4d^3(^2H)5s	a ^3H	5	11.0	1.858338		1.03	96 | ^3H	
4d^3(^2H)5s	a ^3H	6	13.0	1.874599		1.15	99 | ^3H	
4d^25s5p	z ^5G°	3	7.0	1.884716		1.09	87 | 4d^2(^3P)5s5p(^3P) | ^5G°	
4d^3(^4P)5s	b ^3P	0	1.0	1.937171		0	65 | ^3P	
4d^25s5p	z ^5G°	4	9.0	1.949076		1.12	93 | 4d^2(^3F)5s5p(^3P) | ^5G°	
4d^3(^4P)5s	b ^3P	1	3.0	1.975329		1.504	69 | ^3P	
4d^25s5p	z ^3F°	2	5.0	2.020510		0.67	20 | 4d^2(^1D)5s5p(^3P) | ^3F°	
4d^25s5p	z ^5G°	5	11.0	2.023045		1.28	96 | 4d^2(^3F)5s5p(^3P) | ^5G°	
4d^3(^4P)5s	b ^3P	2	5.0	2.048495			79 | ^3P	
4d^25s5p	z ^5F°	1	3.0	2.081314		0.30	70 | 4d^2(^3F)5s5p(^3P) | ^5F°	
4d^25s5p	z ^3F°	3	7.0	2.088381		1.08	24 | 4d^2(^1D)5s5p(^3P) | ^3F°	
4d^25s5p	z ^5G°	6	13.0	2.105040		1.36	96 | 4d^2(^3F)5s5p(^3P) | ^5G°	
4d^25s5p	z ^5F°	2	5.0	2.115122		0.95	73 | 4d^2(^3F)5s5p(^3P) | ^5F°	
4d^3(^2P)5s	c ^3P	1	3.0	2.115148			50 | ^3P	
4d^3(^2P)5s	c ^3P	2	5.0	2.125426			61 | ^3P	
4d^3(b ^2D)5s	b ^1D	2	5.0	2.136052			63 | ^1D	
